timestamp,cpu_%,disk_read_iops,disk_write_iops,mb_s,threads_running,pending_writes
2025-11-21 16:11:19,3.25,1.50,,,2,16:11:20
2025-11-21 16:11:21,4.65,46.62,,,2,16:11:23
2025-11-21 16:11:24,1.88,0.17,,,2,16:11:25
2025-11-21 16:11:26,22.27,243.09,,,2,16:11:28
2025-11-21 16:11:29,15.13,38.98,,,2,16:11:30
2025-11-21 16:11:31,13.78,31.89,,,2,16:11:33
2025-11-21 16:11:34,7.92,26.03,,,2,16:11:35
2025-11-21 16:11:36,7.73,26.03,,,2,16:11:38
2025-11-21 16:11:39,11.65,25.89,,,2,16:11:40
2025-11-21 16:11:41,10.9,15.37,,,2,16:11:42
2025-11-21 16:11:43,8.58,4.45,,,2,16:11:45
2025-11-21 16:11:46,6.52,3.40,,,2,16:11:47
2025-11-21 16:11:48,4.65,0.00,,,2,16:11:50
2025-11-21 16:11:51,5.26,1.59,,,2,16:11:52
2025-11-21 16:11:53,4.3,0.00,,,2,16:11:55
2025-11-21 16:11:56,4.30,0.01,,,2,16:11:57
2025-11-21 16:11:58,27.38,190.95,,,3,16:12:00
2025-11-21 16:12:01,7.64,30.80,,,2,16:12:02
2025-11-21 16:12:03,7.69,35.76,,,2,16:12:04
2025-11-21 16:12:05,19.45,28.18,,,2,16:12:07
2025-11-21 16:12:08,13.70,28.20,,,2,16:12:09
2025-11-21 16:12:10,13.23,26.61,,,2,16:12:12
2025-11-21 16:12:13,10.44,23.81,,,2,16:12:14
2025-11-21 16:12:15,8.6,3.75,,,2,16:12:17
2025-11-21 16:12:18,8.84,2.30,,,2,16:12:19
2025-11-21 16:12:20,6.96,0.00,,,2,16:12:21
2025-11-21 16:12:22,5.64,0.05,,,2,16:12:24
2025-11-21 16:12:25,6.87,8.42,,,2,16:12:26
2025-11-21 16:12:27,11.35,0.02,,,2,16:12:29
2025-11-21 16:12:30,28.77,185.71,,,2,16:12:31
2025-11-21 16:12:32,15.6,23.73,,,2,16:12:34
2025-11-21 16:12:35,9.3,26.73,,,2,16:12:36
2025-11-21 16:12:37,7.49,31.97,,,2,16:12:39
2025-11-21 16:12:40,10.32,32.89,,,2,16:12:41
2025-11-21 16:12:42,7.56,36.10,,,2,16:12:43
2025-11-21 16:12:44,6.93,26.52,,,2,16:12:46
2025-11-21 16:12:47,6.29,5.77,,,2,16:12:48
2025-11-21 16:12:49,4.27,16.12,,,2,16:12:51
2025-11-21 16:12:52,6.57,0.02,,,2,16:12:53
2025-11-21 16:12:54,4.22,2.93,,,2,16:12:55
2025-11-21 16:12:56,4.59,0.30,,,2,16:12:58
2025-11-21 16:12:59,4.82,0.00,,,2,16:13:00
2025-11-21 16:13:01,22.65,182.47,,,2,16:13:03
2025-11-21 16:13:04,7.23,42.64,,,2,16:13:05
2025-11-21 16:13:06,4.93,21.34,,,2,16:13:08
2025-11-21 16:13:09,6.86,23.22,,,2,16:13:10
2025-11-21 16:13:11,6.64,31.07,,,2,16:13:12
2025-11-21 16:13:13,11.43,32.00,,,2,16:13:15
2025-11-21 16:13:16,10.35,26.20,,,2,16:13:17
2025-11-21 16:13:18,6.60,25.93,,,2,16:13:20
2025-11-21 16:13:21,4.22,14.97,,,2,16:13:22
2025-11-21 16:13:23,3.89,0.00,,,2,16:13:24
2025-11-21 16:13:25,3.31,0.06,,,2,16:13:27
2025-11-21 16:13:28,4.22,0.83,,,2,16:13:29
2025-11-21 16:13:30,4.48,6.39,,,2,16:13:32
2025-11-21 16:13:33,26.58,175.93,,,2,16:13:34
2025-11-21 16:13:35,7.23,28.24,,,2,16:13:36
2025-11-21 16:13:38,11.21,34.85,,,2,16:13:39
2025-11-21 16:13:40,7.59,32.87,,,2,16:13:41
